food_name,diet_type,culture,meal_type,calories,protein,carbs,fat,medical_suitability,cost_per_100g,carbon_score,recommended_for,avoid_for,category,recipe
Tofu Stir Fry,Vegan,Asian,Snack,296,23,31,16,"obesity,diabetes",38,1.8,"Low GI, High Fiber, Weight Management","High Calorie, Processed, High Sugar, Refined Carbs",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta Special,Vegetarian,Western,Breakfast,442,15,31,27,obesity,34,2.2,Weight Management,"High Calorie, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dal Makhani with Gravy,Vegetarian,Asian,Lunch,370,21,47,17,general,39,2.3,General Health,Excessive Processing,Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry Spicy,Vegan,Mediterranean,Dinner,429,18,24,20,hypertension,36,1.9,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Roasted Chickpeas Special,Vegan,Mediterranean,Dinner,178,8,26,4,"pcos,thyroid",32,1.3,"Anti-inflammatory, Balanced Iodine","High Sugar, Processed Foods, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mutton Rogan Josh Spicy,Non-Vegetarian,Mediterranean,Dinner,506,38,14,35,"thyroid,heart",92,4.7,"Balanced Iodine, Heart Healthy","High Saturated Fat, Sodium, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry,Vegan,Western,Lunch,449,19,31,15,diabetes,40,1.2,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Cutlet Deluxe,Vegetarian,Western,Lunch,247,6,35,6,thyroid,47,1.6,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Upma Special,Vegetarian,Mediterranean,Breakfast,306,10,49,7,hypertension,37,2.7,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sandwich Spicy,Non-Vegetarian,Indian,Breakfast,369,28,41,12,"ibs,thyroid",95,4.1,"Balanced Iodine, Low FODMAP","Goitrogenic Foods, High FODMAP",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Sandwich Deluxe,Vegetarian,Indian,Breakfast,319,12,36,9,diabetes,34,2.5,"Low GI, High Fiber","High Sugar, Refined Carbs",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Smoothie Bowl Mild,Vegan,Indian,Dinner,254,8,45,6,thyroid,34,1,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Energy Bar Deluxe,Vegan,Western,Dinner,255,8,32,5,heart,43,1.1,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Curry Mild,Non-Vegetarian,Western,Lunch,414,29,17,14,thyroid,93,3.4,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Omelette Dry,Non-Vegetarian,Western,Breakfast,338,25,8,23,"pcos,ibs",43,4.6,"Anti-inflammatory, Low FODMAP","High Sugar, Processed Foods, High FODMAP",Breakfast,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll,Non-Vegetarian,Indian,Dinner,290,13,27,8,pcos,64,3.2,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fillet Deluxe,Non-Vegetarian,Mediterranean,Lunch,305,27,17,19,obesity,75,3.6,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Scramble Deluxe,Vegan,Western,Lunch,270,20,23,15,"hypertension,thyroid",42,1.2,"Low Sodium, Balanced Iodine","High Sodium, Processed, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Energy Bar with Gravy,Vegan,Western,Dinner,234,6,39,7,thyroid,40,1.2,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Pav Bhaji,Vegetarian,Indian,Lunch,418,13,57,9,obesity,35,2.1,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mushroom Masala Deluxe,Vegetarian,Indian,Lunch,270,16,28,15,"ibs,pcos",43,2.7,"Anti-inflammatory, Low FODMAP","High Sugar, Processed Foods, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Smoothie,Vegan,Indian,Dinner,189,5,34,4,diabetes,42,2,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Paneer Butter Masala with Gravy,Vegetarian,Asian,Lunch,367,24,23,23,hypertension,63,2.6,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chana Masala Spicy,Vegetarian,Indian,Dinner,316,16,54,9,"ibs,obesity",45,2.1,"Low FODMAP, Weight Management","High Calorie, Processed, High FODMAP",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thai Curry,Vegan,Western,Lunch,418,13,47,18,"ibs,heart",40,1.6,"Low FODMAP, Heart Healthy","High Saturated Fat, Sodium, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta,Vegetarian,Asian,Lunch,426,16,26,35,general,42,2.6,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Tikka,Non-Vegetarian,Western,Lunch,326,28,10,17,"hypertension,general",79,3.4,"Low Sodium, General Health","Excessive Processing, High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chickpea Curry,Vegan,Indian,Lunch,384,15,47,7,hypertension,45,1.4,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vada Pav Special,Vegetarian,Western,Dinner,240,9,39,9,"thyroid,diabetes",39,2.3,"Balanced Iodine, Low GI, High Fiber","High Sugar, Refined Carbs, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chia Pudding Mild,Vegan,Mediterranean,Lunch,326,11,28,11,thyroid,34,1.6,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Sandwich Mild,Vegetarian,Asian,Breakfast,307,11,42,6,pcos,34,2.5,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Curry,Non-Vegetarian,Western,Lunch,342,35,23,23,"thyroid,diabetes",80,3.6,"Balanced Iodine, Low GI, High Fiber","High Sugar, Refined Carbs, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Curry,Non-Vegetarian,Western,Lunch,441,29,23,18,diabetes,64,3.7,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Non-Vegetarian Thali,Non-Vegetarian,Indian,Dinner,550,29,58,21,obesity,49,3.3,Weight Management,"High Calorie, Processed",Main Meal,"Prepare Non-Vegetarian Thali 430 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Scramble,Vegan,Asian,Breakfast,273,15,16,15,heart,46,1.2,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Lentil Soup,Vegan,Asian,Snack,337,19,38,5,general,38,1.9,General Health,Excessive Processing,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Baingan Bharta Mild,Vegetarian,Western,Lunch,329,7,30,17,hypertension,32,2.5,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki with Gravy,Vegetarian,Western,Dinner,231,3,28,7,heart,44,2.2,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Smoothie,Vegan,Asian,Breakfast,208,5,41,4,diabetes,43,1.2,"Low GI, High Fiber","High Sugar, Refined Carbs",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhel Puri,Vegetarian,Asian,Lunch,208,4,44,1,thyroid,34,1.5,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Stuffed Paratha Spicy,Vegetarian,Mediterranean,Breakfast,325,9,53,11,"heart,diabetes",33,2.3,"Low GI, High Fiber, Heart Healthy","High Saturated Fat, Sodium, High Sugar, Refined Carbs",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry Spicy,Vegan,Indian,Lunch,390,19,33,18,"heart,general",47,1.1,"Heart Healthy, General Health","Excessive Processing, High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Grilled Chicken with Gravy,Non-Vegetarian,Mediterranean,Snack,387,40,7,18,diabetes,78,3.8,"Low GI, High Fiber","High Sugar, Refined Carbs",Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Curry Special,Non-Vegetarian,Asian,Dinner,311,27,22,20,hypertension,68,4.1,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Quinoa Bowl Special,Vegan,Asian,Breakfast,395,13,44,9,heart,41,1.4,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetarian Thali,Vegetarian,Indian,Dinner,426,17,69,14,thyroid,62,2.4,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare Vegetarian Thali 65 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry with Gravy,Vegan,Western,Snack,331,23,32,15,pcos,32,1.1,Anti-inflammatory,"High Sugar, Processed Foods",Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Tikka Mild,Non-Vegetarian,Mediterranean,Lunch,382,31,11,18,heart,85,3.8,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Baingan Bharta Special,Vegetarian,Indian,Lunch,304,8,28,15,obesity,42,2.4,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Keema Matar Mild,Non-Vegetarian,Asian,Lunch,355,22,20,20,"pcos,thyroid",41,3.8,"Anti-inflammatory, Balanced Iodine","High Sugar, Processed Foods, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Non-Vegetarian Thali,Non-Vegetarian,Indian,Lunch,536,30,58,18,pcos,69,2.4,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare Non-Vegetarian Thali 249 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Non-Vegetarian Thali,Non-Vegetarian,Indian,Lunch,541,29,61,20,hypertension,59,1.7,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare Non-Vegetarian Thali 229 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Trail Mix with Gravy,Vegan,Indian,Lunch,251,8,27,18,"hypertension,diabetes",39,1.6,"Low Sodium, Low GI, High Fiber","High Sugar, Refined Carbs, High Sodium, Processed",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Prawn Curry Mild,Non-Vegetarian,Indian,Lunch,441,26,15,19,ibs,94,4.1,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll with Gravy,Non-Vegetarian,Western,Breakfast,252,15,29,10,hypertension,78,4.8,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Cutlet Spicy,Vegetarian,Asian,Lunch,194,6,33,8,hypertension,37,1.5,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Gobi Mild,Vegetarian,Western,Breakfast,254,5,35,13,pcos,42,2,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chole Bhature Spicy,Vegetarian,Indian,Dinner,505,20,84,23,ibs,43,2.8,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhel Puri Spicy,Vegetarian,Indian,Breakfast,151,4,35,2,thyroid,45,1.8,Balanced Iodine,Goitrogenic Foods,Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Pav Bhaji Dry,Vegetarian,Indian,Snack,323,10,60,10,diabetes,46,1.8,"Low GI, High Fiber","High Sugar, Refined Carbs",Snack,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
